,month,year,METER_ID,BUILDING_GROUP,CONSUMPTION
146,12,2019,13,Academic,14197.30618
147,1,2020,13,Academic,8135.304703
148,1,2016,20,Academic,5851.62726
149,2,2016,20,Academic,24640.13084
150,3,2016,20,Academic,26004.49111
151,4,2016,20,Academic,33428.82201
152,5,2016,20,Academic,30193.35062
153,6,2016,20,Academic,23647.32362
154,7,2016,20,Academic,31038.10748
155,8,2016,20,Academic,36112.95837
156,9,2016,20,Academic,37134.3253
157,10,2016,20,Academic,35360.11686
158,11,2016,20,Academic,31630.2896
159,12,2016,20,Academic,30665.22862
160,1,2017,20,Academic,32574.96597
161,2,2017,20,Academic,29893.13907
162,3,2017,20,Academic,31254.95356
163,4,2017,20,Academic,30986.43842
164,5,2017,20,Academic,32808.3068
165,6,2017,20,Academic,31829.90017
166,7,2017,20,Academic,32480.30964
167,8,2017,20,Academic,33447.32482
168,9,2017,20,Academic,33090.53951
169,10,2017,20,Academic,33553.55998
170,11,2017,20,Academic,30455.72246
171,12,2017,20,Academic,31278.03322
172,1,2018,20,Academic,33239.78567
173,2,2018,20,Academic,32435.28223
174,3,2018,20,Academic,33985.88408
175,4,2018,20,Academic,32586.82004
176,5,2018,20,Academic,34749.13837
177,6,2018,20,Academic,34235.8651
178,7,2018,20,Academic,37646.1536
179,8,2018,20,Academic,31957.78112
180,9,2018,20,Academic,32736.63875
181,10,2018,20,Academic,31715.70831
182,11,2018,20,Academic,34035.9944
183,12,2018,20,Academic,35133.75239
184,1,2019,20,Academic,34903.4404
185,2,2019,20,Academic,35016.2472
186,3,2019,20,Academic,30439.80936
187,4,2019,20,Academic,27569.95952
188,5,2019,20,Academic,28313.51886
189,6,2019,20,Academic,29684.18723
190,7,2019,20,Academic,35561.96243
191,8,2019,20,Academic,35155.81142
192,9,2019,20,Academic,31839.2299
193,10,2019,20,Academic,29432.27541
194,11,2019,20,Academic,23829.26335
195,12,2019,20,Academic,23274.55581
196,1,2020,20,Academic,13829.72915
197,1,2016,8,Administration,2173.22998
198,2,2016,8,Administration,9298.83784
199,3,2016,8,Administration,9893.22592
200,4,2016,8,Administration,10629.27767
201,5,2016,8,Administration,12897.51741
202,6,2016,8,Administration,13770.94674
203,7,2016,8,Administration,12931.73511
204,8,2016,8,Administration,13544.09164
205,9,2016,8,Administration,13249.16233
206,10,2016,8,Administration,11228.04747
207,11,2016,8,Administration,9943.63322
208,12,2016,8,Administration,9633.27023
209,1,2017,8,Administration,10135.31283
210,2,2017,8,Administration,8891.18662
211,3,2017,8,Administration,10112.52358
212,4,2017,8,Administration,8995.2049
213,5,2017,8,Administration,10962.13436
214,6,2017,8,Administration,14281.42123
215,7,2017,8,Administration,15165.6074
216,8,2017,8,Administration,13975.30137
217,9,2017,8,Administration,13061.8371
218,10,2017,8,Administration,11493.19148
219,11,2017,8,Administration,10865.90313
220,12,2017,8,Administration,10383.08128
221,1,2018,8,Administration,10647.71648
222,2,2018,8,Administration,9314.192096
223,3,2018,8,Administration,10171.70445
224,4,2018,8,Administration,10217.50911
225,5,2018,8,Administration,11831.2196
226,6,2018,8,Administration,13575.12416
227,7,2018,8,Administration,13700.37057
228,8,2018,8,Administration,13523.91699
229,9,2018,8,Administration,12420.25751
230,10,2018,8,Administration,11542.67294
231,11,2018,8,Administration,10418.84935
232,12,2018,8,Administration,10009.12834
233,1,2019,8,Administration,10440.46906
234,2,2019,8,Administration,9159.08568
235,3,2019,8,Administration,9728.57204
236,4,2019,8,Administration,10268.5987
237,5,2019,8,Administration,11270.12354
238,6,2019,8,Administration,13333.85744
239,7,2019,8,Administration,13868.35029
240,8,2019,8,Administration,13310.82022
241,9,2019,8,Administration,12742.51481
242,10,2019,8,Administration,11561.32049
243,11,2019,8,Administration,10214.56675
244,12,2019,8,Administration,10224.45755
245,1,2020,8,Administration,5113.499735
246,1,2016,9,Administration,25463.33963
247,2,2016,9,Administration,119798.8795
248,3,2016,9,Administration,128178.2763
249,4,2016,9,Administration,121831.2986
250,5,2016,9,Administration,161694.1489
251,6,2016,9,Administration,191257.7312
252,7,2016,9,Administration,209426.055
253,8,2016,9,Administration,182683.0661
254,9,2016,9,Administration,228636.1342
255,10,2016,9,Administration,179661.6438
256,11,2016,9,Administration,137035.3082
257,12,2016,9,Administration,116704.3089
258,1,2017,9,Administration,132005.7132
259,2,2017,9,Administration,128385.8842
260,3,2017,9,Administration,126075.7859
261,4,2017,9,Administration,131799.713
262,5,2017,9,Administration,150969.5161
263,6,2017,9,Administration,190188.5232
264,7,2017,9,Administration,201265.5038
265,8,2017,9,Administration,183888.5084
266,9,2017,9,Administration,208802.3254
267,10,2017,9,Administration,169651.0787
268,11,2017,9,Administration,127965.7856
269,12,2017,9,Administration,113962.4686
270,1,2018,9,Administration,131031.9077
271,2,2018,9,Administration,121177.1156
272,3,2018,9,Administration,122787.3654
273,4,2018,9,Administration,125146.7473
274,5,2018,9,Administration,193224.3285
275,6,2018,9,Administration,199225.3738
276,7,2018,9,Administration,199716.6253
277,8,2018,9,Administration,193484.6668
278,9,2018,9,Administration,202735.4549
279,10,2018,9,Administration,147636.5159
280,11,2018,9,Administration,124672.9982
281,12,2018,9,Administration,99535.4568
282,1,2019,9,Administration,119917.3898
283,2,2019,9,Administration,123226.2102
284,3,2019,9,Administration,120173.8778
285,4,2019,9,Administration,127784.661
286,5,2019,9,Administration,155364.24
287,6,2019,9,Administration,170577.243
288,7,2019,9,Administration,214792.6933
289,8,2019,9,Administration,184651.1886
290,9,2019,9,Administration,192203.2459
291,10,2019,9,Administration,143721.243
292,11,2019,9,Administration,107372.1106
293,12,2019,9,Administration,97022.29982
294,1,2020,9,Administration,53192.27524
295,1,2016,24,Athletic,19781.1272
296,2,2016,24,Athletic,86201.4951
297,3,2016,24,Athletic,79749.4101
298,4,2016,24,Athletic,79774.5991
299,5,2016,24,Athletic,70101.33974
300,6,2016,24,Athletic,93266.3126
301,7,2016,24,Athletic,107619.492
302,8,2016,24,Athletic,102317.9964
303,9,2016,24,Athletic,107885.9628
304,10,2016,24,Athletic,83647.1441
305,11,2016,24,Athletic,69957.4253
306,12,2016,24,Athletic,65084.7945
307,1,2017,24,Athletic,78174.93135
308,2,2017,24,Athletic,70177.6772
309,3,2017,24,Athletic,71044.9463
310,4,2017,24,Athletic,60788.29523
311,5,2017,24,Athletic,63629.1143
312,6,2017,24,Athletic,72309.5571
313,7,2017,24,Athletic,81253.538
314,8,2017,24,Athletic,77187.5381
315,9,2017,24,Athletic,78428.039
316,10,2017,24,Athletic,65106.6545
317,11,2017,24,Athletic,60524.66924
318,12,2017,24,Athletic,56283.60432
319,1,2018,24,Athletic,20410.59807
320,2,2018,24,Athletic,11522.7137
321,3,2018,24,Athletic,11692.83543
322,4,2018,24,Athletic,11751.99275
323,5,2018,24,Athletic,21023.63875
324,6,2018,24,Athletic,25389.55192
325,7,2018,24,Athletic,34967.56501
326,8,2018,24,Athletic,98323.20477
327,9,2018,24,Athletic,83203.3159
328,10,2018,24,Athletic,64942.0195
329,11,2018,24,Athletic,59530.3367
330,12,2018,24,Athletic,51985.81322
331,1,2019,24,Athletic,63063.46826
332,2,2019,24,Athletic,56702.7267
333,3,2019,24,Athletic,57647.4
334,4,2019,24,Athletic,57542.9039
335,5,2019,24,Athletic,56107.0454
336,6,2019,24,Athletic,63198.13456
337,7,2019,24,Athletic,81160.4759
338,8,2019,24,Athletic,83991.85077
339,9,2019,24,Athletic,81299.70973
340,10,2019,24,Athletic,56374.07093
341,11,2019,24,Athletic,44771.27912
342,12,2019,24,Athletic,43219.83608
343,1,2020,24,Athletic,26359.18931
344,1,2016,53,Campus Meter,211268.904
345,2,2016,53,Campus Meter,949494.142
346,3,2016,53,Campus Meter,910807.371
